genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	23	na	35327617	348113850	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_23.d_na	na	191.70999999999998	23172764	29.77	1570776	3.0500000000000003	343776	Pos	1000000	221.48	23172764	3.0500000000000003	77.848670064556
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	SSHash	eulertigs	23	na	35327617	348113850	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_23.d_na	na	191.70999999999998	23172764	29.77	1570776	2.4	343776	Str	999966	221.48	23172764	2.4000816027744944	77.848670064556
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	23	na	35327617	232398739	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_na	na	na	na	52.67	806844	4.6899999999999995	799132	Neg	1000000	52.67	806844	4.6899999999999995	180.96482420538018
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	23	na	35327617	232398739	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_na	na	na	na	52.67	806844	3.3600000000000003	799128	Pos	1000000	52.67	806844	3.3600000000000003	180.96391839845865
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	cbl	none	23	na	35327617	232398739	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_na	na	na	na	52.67	806844	2.77	799128	Str	999966	52.67	806844	2.7700941832022288	180.96391839845865
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	23	na	35327617	80461767	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_23.d_na	na	393.91999999999996	1637980	82.49	3996604	5.37	86184	Neg	1000000	476.40999999999997	3996604	5.37	19.516515931431208
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	23	na	35327617	80461767	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_23.d_na	na	393.91999999999996	1637980	82.49	3996604	11.95	86184	Pos	1000000	476.40999999999997	3996604	11.95	19.516515931431208
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	fmsi	global	23	na	35327617	110524119	fmsi.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_global.k_23.d_na	na	393.91999999999996	1637980	82.49	3996604	2.84	115504	Str	999966	476.40999999999997	3996604	2.840096563283151	26.15608066629572
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	23	0	35327617	357701048	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_0	na	na	na	2300.52	28002976	1.75	378508	Neg	1000000	2300.52	28002976	1.75	85.71379156425976
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	0.1	sbwt	none	23	0	35327617	357701048	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_23.d_0	na	na	na	2300.52	28002976	3.6300000000000003	378704	Pos	1000000	2300.52	28002976	3.6300000000000003	85.75817610341507
