genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
minikraken4GB_k31	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	8	4028128	Neg	1000000	1838.07	219210224	8	102.89791706895146
minikraken4GB_k31	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	10.04	4028112	Pos	1000000	1838.07	219210224	10.04	102.8975083513851
minikraken4GB_k31	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	3.1900000000000004	4028112	Str	999810	1838.07	219210224	3.190606215180885	102.8975083513851
minikraken4GB_k31	1	cbl	none	31	na	313174697	2013429812	cbl.minikraken4GB_k31.S_none.k_31.d_na	na	na	na	408.33	3122816	10.36	2393568	Neg	1000000	408.33	3122816	10.36	61.1433304907133
minikraken4GB_k31	1	cbl	none	31	na	313174697	2013429812	cbl.minikraken4GB_k31.S_none.k_31.d_na	na	na	na	408.33	3122816	11.2	2393544	Pos	1000000	408.33	3122816	11.2	61.14271741436378
minikraken4GB_k31	1	cbl	none	31	na	313174697	2013429812	cbl.minikraken4GB_k31.S_none.k_31.d_na	na	na	na	408.33	3122816	9.59	2393556	Str	999810	408.33	3122816	9.591822446264791	61.14302395253854
minikraken4GB_k31	1	fmsi	global	31	na	313174697	1338757988	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	12221.25	14372684	2492.14	72329576	10.600000000000001	1377804	Neg	1000000	14713.39	72329576	10.600000000000001	35.19579361164034
minikraken4GB_k31	1	fmsi	global	31	na	313174697	1338757988	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	12221.25	14372684	2492.14	72329576	11.43	1377792	Pos	1000000	14713.39	72329576	11.43	35.19548707346558
minikraken4GB_k31	1	fmsi	global	31	na	313174697	1883327596	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	12221.25	14372684	2492.14	72329576	5.71	1909596	Str	999810	14713.39	72329576	5.711085106170173	48.78033936438997
