genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
minikraken8GB_k31	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	11.01	8483748	Neg	1000000	3938.94	29646776	11.01	101.13415748218941
minikraken8GB_k31	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	9.86	8483752	Pos	1000000	3938.94	29646776	9.86	101.13420516590537
minikraken8GB_k31	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	8.84	8483752	Str	999810	3938.94	29646776	8.841679919184644	101.13420516590537
minikraken8GB_k31	1	cbl	none	31	na	671088638	4167688500	cbl.minikraken8GB_k31.S_none.k_31.d_na	na	na	na	985.85	5949628	19.14	4374332	Neg	1000000	985.85	5949628	19.14	52.146101153332296
minikraken8GB_k31	1	cbl	none	31	na	671088638	4167688500	cbl.minikraken8GB_k31.S_none.k_31.d_na	na	na	na	985.85	5949628	16.93	4374332	Pos	1000000	985.85	5949628	16.93	52.146101153332296
minikraken8GB_k31	1	cbl	none	31	na	671088638	4167688500	cbl.minikraken8GB_k31.S_none.k_31.d_na	na	na	na	985.85	5949628	22.75	4374336	Str	999810	985.85	5949628	22.754323321431073	52.14614883704826
minikraken8GB_k31	1	fmsi	global	31	na	671088638	2423448260	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	21668.92	30642328	3019.65	128182956	11.93	2488324	Neg	1000000	24688.57	128182956	11.93	29.663133709618847
minikraken8GB_k31	1	fmsi	global	31	na	671088638	2423448260	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	21668.92	30642328	3019.65	128182956	9.81	2488352	Pos	1000000	24688.57	128182956	9.81	29.663467495630584
minikraken8GB_k31	1	fmsi	global	31	na	671088638	3388561572	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	21668.92	30642328	3019.65	128182956	8.77	3430908	Str	999810	24688.57	128182956	8.771666616657164	40.89961064129952
