genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
minikraken4GB_k31	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	8	4028128	Neg	1000000	1838.07	219210224	8	102.89791706895146
minikraken4GB_k31	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	10.04	4028112	Pos	1000000	1838.07	219210224	10.04	102.8975083513851
minikraken4GB_k31	1	SSHash	eulertigs	31	na	313174697	4120777680	sshash.minikraken4GB_k31.S_eulertigs.k_31.d_na	na	1509.34	219210224	328.73	15141232	3.1900000000000004	4028112	Str	999810	1838.07	219210224	3.190606215180885	102.8975083513851
minikraken4GB_k31	1	fmsi	global	31	na	313174697	1338754292	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	843.8	8649596	1761.15	72329672	8.930000000000001	1377764	Neg	1000000	2604.95	72329672	8.930000000000001	35.19477181772447
minikraken4GB_k31	1	fmsi	global	31	na	313174697	1338754292	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	843.8	8649596	1761.15	72329672	8.91	1377768	Pos	1000000	2604.95	72329672	8.91	35.194873997116055
minikraken4GB_k31	1	fmsi	global	31	na	313174697	1883323900	fmsi.minikraken4GB_k31.S_global.k_31.d_na	na	843.8	8649596	1761.15	72329672	5.8100000000000005	1909576	Str	999810	2604.95	72329672	5.811104109780859	48.779828467432026
