genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
minikraken8GB_k31	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	11.01	8483748	Neg	1000000	3938.94	29646776	11.01	101.13415748218941
minikraken8GB_k31	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	9.86	8483752	Pos	1000000	3938.94	29646776	9.86	101.13420516590537
minikraken8GB_k31	1	SSHash	prophasm	31	na	671088638	8683242512	sshash.minikraken8GB_k31.S_prophasm.k_31.d_na	na	3243.19	27633284	695.75	29646776	8.84	8483752	Str	999810	3938.94	29646776	8.841679919184644	101.13420516590537
minikraken8GB_k31	1	fmsi	global	31	na	671088638	2423406724	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	1625.21	16327504	7618.84	128183132	13.59	2488336	Neg	1000000	9244.05	128183132	13.59	29.663276760766735
minikraken8GB_k31	1	fmsi	global	31	na	671088638	2423406724	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	1625.21	16327504	7618.84	128183132	10.98	2488340	Pos	1000000	9244.05	128183132	10.98	29.663324444482697
minikraken8GB_k31	1	fmsi	global	31	na	671088638	3388520036	fmsi.minikraken8GB_k31.S_global.k_31.d_na	na	1625.21	16327504	7618.84	128183132	9.33	3430836	Str	999810	9244.05	128183132	9.331773036877006	40.898752334412194
